PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23
Jason D.,Bear Branch Sportsfield Park,Main,2022-06-14 17:02,56,2,4,3,3,3,3,3,3,2,3,2,5,3,4,2,3,3,4,3,,,,,
Killamon Daru,Bear Branch Sportsfield Park,Main,2022-06-14 17:02,57,3,3,3,3,3,5,4,2,2,4,3,3,4,5,2,3,3,2,3,,,,,
BurtRuckus,Bear Branch Sportsfield Park,Main,2022-06-14 17:02,65,11,2,4,3,4,5,3,3,3,4,3,4,5,4,3,3,3,6,3,,,,,
Discer,Bear Branch Sportsfield Park,Main,2022-06-14 17:02,58,4,3,2,3,3,3,4,4,2,3,3,5,3,4,2,3,5,3,3,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-06-10 16:40,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-06-10 16:40,63,9,3,3,5,5,5,4,4,4,2,2,4,4,3,4,3,3,3,2,,,,,
Killamon Daru,Bear Branch Sportsfield Park,Main,2022-06-10 16:40,57,3,4,4,4,3,4,4,3,2,3,3,4,3,3,2,3,3,2,3,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-06-03 15:58,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-06-03 15:58,57,3,2,4,3,3,3,4,4,4,4,2,5,3,3,3,3,3,2,2,,,,,
Henning,Bear Branch Sportsfield Park,Main,2022-06-03 15:58,62,8,2,2,5,3,3,4,3,3,4,3,5,3,3,4,4,5,2,4,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-06-03 15:58,61,7,5,3,3,4,4,3,2,3,2,4,4,3,4,4,4,3,3,3,,,,,
BurtRuckus,Bear Branch Sportsfield Park,Main,2022-06-03 15:58,67,13,2,3,3,3,5,4,3,4,3,4,5,4,5,4,5,4,3,3,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-05-27 16:39,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-05-27 16:39,55,1,2,3,3,4,3,3,3,3,3,3,3,4,3,4,2,4,3,2,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-05-27 16:39,53,-1,3,2,3,2,3,5,2,3,3,3,3,3,4,2,3,3,3,3,,,,,
BurtRuckus,Bear Branch Sportsfield Park,Main,2022-05-27 16:39,65,11,3,3,3,3,4,4,4,3,4,3,4,4,4,3,4,4,5,3,,,,,
DDrewjr,Bear Branch Sportsfield Park,Main,2022-05-27 16:39,67,13,4,3,4,4,5,4,3,4,3,3,3,4,5,5,3,4,4,2,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-05-26 17:00,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-05-26 17:00,53,-1,3,3,3,2,2,5,3,3,3,2,3,3,3,3,3,3,3,3,,,,,
Mears,Bear Branch Sportsfield Park,Main,2022-05-26 17:00,34,1,3,2,3,3,3,4,3,4,3,3,3,0,0,0,0,0,0,0,,,,,
Henning,Bear Branch Sportsfield Park,Main,2022-05-26 17:00,60,6,3,3,3,2,5,4,2,2,2,2,4,5,4,4,4,3,5,3,,,,,
DDrewjr,Bear Branch Sportsfield Park,Main,2022-05-26 17:00,67,13,4,4,4,3,5,4,4,2,4,4,4,4,5,4,3,3,3,3,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-05-19 17:03,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-05-19 17:03,54,0,2,3,3,4,3,4,2,3,2,2,3,5,3,3,3,4,3,2,,,,,
Mears,Bear Branch Sportsfield Park,Main,2022-05-19 17:03,50,-4,3,2,3,3,2,4,3,3,3,2,3,3,3,2,3,3,3,2,,,,,
Henning,Bear Branch Sportsfield Park,Main,2022-05-19 17:03,60,6,4,4,2,2,5,3,2,3,3,3,4,5,5,2,3,5,2,3,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-05-19 17:03,56,2,2,2,3,3,3,5,2,3,3,3,4,3,5,3,3,3,3,3,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-05-17 17:02,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-05-17 17:02,56,2,2,4,4,3,4,3,3,3,2,2,3,4,5,3,3,3,3,2,,,,,
Mears,Bear Branch Sportsfield Park,Main,2022-05-17 17:02,58,4,4,2,3,3,3,3,3,3,2,3,4,2,4,4,4,4,4,3,,,,,
Henning,Bear Branch Sportsfield Park,Main,2022-05-17 17:02,53,-1,3,3,2,3,2,4,3,2,3,3,4,3,4,2,4,3,3,2,,,,,
Killamon Daru,Bear Branch Sportsfield Park,Main,2022-05-17 17:02,60,6,4,3,3,3,2,4,4,2,4,3,4,5,3,2,3,4,4,3,,,,,
Discer,Bear Branch Sportsfield Park,Main,2022-05-17 17:02,45,3,3,3,4,3,4,4,3,3,3,2,3,3,4,3,0,0,0,0,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-05-12 17:26,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Alex + Mears,Bear Branch Sportsfield Park,Main,2022-05-12 17:26,47,-7,1,3,4,3,2,3,3,2,2,2,3,2,3,3,3,3,2,3,,,,,
